Address,Award,Comments,Cuisine,FacilitiesAndServices,Hour,Location,Name,PhoneNumber,Price,Url,WebsiteUrl,_id,coord
"2-26-4 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan",1,2726492,French,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Visa credit card",12,"Tokyo, Japan","L'Effervescence",+81357669500,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/l-effervescence,http://www.leffervescence.jp/,63da3c3e3edd49a903f16267,"[139.719454,35.660299]"
"2-7-2 Azabujuban, Minato-ku, Tokyo, 106-0045, Japan",3,3565218,Japanese,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card",0,"Tokyo, Japan",Azabu Kadowaki,+81357722553,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/azabu-kadowaki,,63da3c3e3edd49a903f16268,"[139.733551,35.655993]"
"3-4 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan",0,6794907,Japanese,"Air conditioning,Counter dining,Credit card / Debit card accepted,Particularly interesting wine list",16,"Tokyo, Japan",Kohaku,+815031385225,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kohaku,http://kagurazaka-kohaku.jp/,63da3c3e3edd49a903f16269,"[139.741008,35.700701]"
"7F, Tokyo Midtown Hibiya, 1-1-2 Yurakucho, Chiyoda-ku, Tokyo, 100-0006, Japan",3,4585629,Japanese,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Notable sake list,Particularly interesting wine list,Visa credit card",4,"Tokyo, Japan",RyuGin,+81366300007,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ryugin-1194232,https://www.nihonryori-ryugin.com/,63da3c3e3edd49a903f1626a,"[139.759193,35.673583]"
"5-37 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan",4,6842352,Japanese,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Visa credit card",11,"Tokyo, Japan",Kagurazaka Ishikawa,+815031385225,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kagurazaka-ishikawa,http://www.kagurazaka-ishikawa.co.jp/,63da3c3e3edd49a903f1626b,"[139.7394552,35.701213]"
"9F, 7-8-13 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",2,4201022,Sushi,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card",8,"Tokyo, Japan",Sushi Yoshitake,+81362537331,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sushi-yoshitake,http://sushi-yoshitake.com/,63da3c3e3edd49a903f1626c,"[139.7619866,35.6689474]"
"4-7-5 Minamiazabu, Minato-ku, Tokyo, 106-0047, Japan",1,3379761,Chinese,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Visa credit card",17,"Tokyo, Japan",Sazenka,+815031888819,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sazenka,https://sazenka.com/,63da3c3e3edd49a903f1626d,"[139.728395,35.649578]"
"Yebisu Garden Place, 1-13-1 Mita, Meguro-ku, Tokyo, 153-0062, Japan",3,4836856,French,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card",19,"Tokyo, Japan",Joël Robuchon,+81354241347,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/joel-robuchon-1193981,https://www.robuchon.jp/,63da3c3e3edd49a903f1626e,"[139.7144835,35.6418703]"
"1F, Toranomon Hills Residential Tower, 1-1-1 Atago, Minato-ku, Tokyo, 105-0002, Japan",4,8183229,Japanese,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Visa credit card",16,"Tokyo, Japan",Kanda,+81364590176,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kanda,http://www.nihonryori-kanda.com/,63da3c3e3edd49a903f1626f,"[139.748172,35.665976]"
"3-11-5 Minamioi, Shinagawa-ku, Tokyo, 140-0013, Japan",0,5073554,Japanese,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card",6,"Tokyo, Japan",Makimura,+81337686388,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/makimura,,63da3c3e3edd49a903f16270,"[139.735467,35.590864]"
