_id,Name,Address,Location,Price,Cuisine,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,Hour,coord,Comments
ObjectId(63da3cd93edd49a903f1787b),Instroom,"Droogdokkenweg 4, Antwerpen, 2000, Belgium","Antwerpen, Belgium",€€,Organic,+32493267412,https://guide.michelin.com/en/antwerpen/be-antwerpen/restaurant/instroom,https://www.instroom.academy,3,"Credit card / Debit card accepted,Maestro",0,"[4.4041041,51.2362289]",7.490098e+06
ObjectId(63da3cd93edd49a903f1787c),Le Victor,"avenue du 10ème de Ligne 84, Arlon, 6700, Belgium","Arlon, Belgium",€€,Market Cuisine,+3263446580,https://guide.michelin.com/en/be-luxembourg/arlon/restaurant/le-victor,https://levictor.be/,4,"Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card",14,"[5.8230259,49.688428]",55387
ObjectId(63da3cd93edd49a903f1787d),Au Dos de la Cuillère,"rue Jules Cérexhe 10, Verviers, 4800, Belgium","Verviers, Belgium",€,"Seasonal Cuisine, Country cooking",+3287530814,https://guide.michelin.com/en/liege/verviers/restaurant/au-dos-de-la-cuillere,,1,"Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card",0,"[5.8508777,50.5937791]",6.357546e+06
ObjectId(63da3cd93edd49a903f1787e),Au gré des Saisons,"rue d'Achet 70, Achet, 5362, Belgium","Achet, Belgium",€€,"Modern Cuisine, Italian",+3283657565,https://guide.michelin.com/en/namur/achet/restaurant/au-gre-des-saisons,http://www.augredessaisons.net/,4,"Car park,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card",11,"[5.1746766,50.3328659]",3.968581e+06
ObjectId(63da3cd93edd49a903f1787f),La Table de Manon,"rue de Givet 79, Grandhan, 6940, Belgium","Grandhan, Belgium",€€,French Contemporary,+3286211026,https://guide.michelin.com/en/be-luxembourg/grandhan/restaurant/la-table-de-manon,https://www.latabledemanon.com/fr/,3,"Air conditioning,Car park,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card",11,"[5.42186,50.32419]",8.355846e+06
ObjectId(63da3cd93edd49a903f17880),la cantinetta,"Rue Haute Wez 191, Grivegnée, 4020, Belgium","Grivegnée, Belgium",€,"Italian, Organic",+3243439640,https://guide.michelin.com/en/liege/grivegnee/restaurant/la-cantinetta-1200453,http://www.cantinetta.be,2,"Credit card / Debit card accepted,Mastercard credit card,Visa credit card",16,"[5.5892796,50.6274342]",4.138718e+06
ObjectId(63da3cd93edd49a903f17881),Monsieur V,"Dapperensquare 19, Linkebeek, 1630, Belgium","Linkebeek, Belgium",€€,Classic Cuisine,+32499283341,https://guide.michelin.com/en/vlaams-brabant/linkebeek/restaurant/monsieur-v,https://www.monsieurv.be,4,"American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Terrace,Visa credit card",7,"[4.3351837,50.7741227]",5.735849e+06
ObjectId(63da3cd93edd49a903f17882),Cuisine & Nous,"Avenue Joseph Wauters 2, Tilff, 4130, Belgium","Tilff, Belgium",€€,French Contemporary,+3243683683,https://guide.michelin.com/en/liege/tilff/restaurant/cuisine-nous,,3,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card",11,"[5.5835107,50.5672316]",5.547358e+06
ObjectId(63da3cd93edd49a903f17883),Antonio Morreale,"Mechelsesteenweg 212, Sterrebeek, 1933, Belgium","Sterrebeek, Belgium",€€,Italian,+32498072032,https://guide.michelin.com/en/vlaams-brabant/sterrebeek/restaurant/antonio-morreale,http://www.antoniomorreale.be/,3,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card",8,"[4.5148711,50.8622283]",7.598702e+06
ObjectId(63da3cd93edd49a903f17884),Bottega Vannini,"Avenue Charles Thielemans 63, Woluwe-Saint-Pierre, 1150, Belgium","Woluwe-Saint-Pierre, Belgium",€€,Italian,+3224527517,https://guide.michelin.com/en/bruxelles-capitale/woluwe-saint-pierre/restaurant/bottega-vannini,https://www.bottegavannini.com/,0,"Credit card / Debit card accepted,Mastercard credit card,Visa credit card",15,"[4.4293,50.83707]",3.763739e+06
